item,correct_strict_v1,correct_strict_v2_display_primary,span_entropy,perception_entropy,model_span,truth_span,model_span_norm,truth_span_norm,model_label,truth_label,model_tier,truth_tier,is_mcq,sympy_match,sympy_partial_parse_risk,sympy_malformed_derivative,multi_answer_collapse,mcq_option,tiny_valid_mcq,tiny_suspicious_non_mcq,multi_value_answer,set_answer,system_answer,derivative_equation,text_conclusion,rules_disagree,priority,final_label,confidence,note
215,True,True,0.6730116670092565,0.6730116670092565,"\frac{3}{\sqrt{77}}, \frac{-2}{\sqrt{77}}, \frac{8}{\sqrt{77}}","\frac{3}{\sqrt{77}}, \quad \frac{-2}{\sqrt{77}}, \quad \frac{8}{\sqrt{77}}.","\frac {3}{\sqrt {77}},\frac {-2}{\sqrt {77}},\frac {8}{\sqrt {77}}","\frac {3}{\sqrt {77}},\frac {-2}{\sqrt {77}},\frac {8}{\sqrt {77}}",sympy:3/(sqrt(77)),sympy:3/(sqrt(77)),last_line,display_math,False,True,False,False,True,False,False,False,True,False,False,False,True,False,high,,,
217,False,False,1.3321790402101223,1.3321790402101223,b = \frac{33}{4},\textcolor{red}{a} = \frac{3}{4} \quad \textcolor{red}{\text{and}} \quad \textcolor{red}{b} = \frac{33}{4}.,b=\frac {33}{4},a=\frac {3}{4} and b=\frac {33}{4},"sympy:eq(b, 33/4)",text:a = \frac{3}{4} and b = \frac{33}{4},display_math,display_math,False,False,True,False,False,False,False,False,False,False,True,False,False,False,high,,,
222,False,False,1.3321790402101223,1.3321790402101223,"18, 81, 42, 24","Hence, possible orders are \textcolor{red}{1 \times 8, 8 \times 1, 4 \times 2, 2 \times 4}","18,81,42,24","hence,possible orders are 1*8,8*1,4*2,2*4",sympy:18,sympy:h*(e*(n*(c*e))),display_math,last_line,False,False,False,False,True,False,False,False,True,True,False,False,True,False,high,,,
223,True,True,0.5004024235381879,0.5004024235381879,R_1,R_1,r_1,r_1,sympy:r_{1},sympy:r_{1},display_math,display_math,False,True,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
224,False,False,0.9502705392332347,0.9502705392332347,\beta,"\textcolor{red}{\text{Also, prime numbers such as 2, 3, 5, and 7 have unique properties that are interesting to study.}}",\beta,"also,prime numbers such as 2,3,5,and 7 have unique properties that are interesting to study",sympy:beta,sympy:a*(l*(o*s)),display_math,display_math,False,False,False,False,True,False,False,False,True,False,False,False,True,False,high,,,
225,False,True,0.9502705392332347,0.9502705392332347,\frac{dS}{dt} = \frac{36}{10} = 3.6 \text{ cm}^2/\text{s},"\frac{dS}{dt} = \frac{36}{10} = 3.6 \, \text{cm}^2/\text{s}",\frac {ds}{dt}=\frac {36}{10}=3.6 cm^2/s,\frac {ds}{dt}=\frac {36}{10}=3.6 cm^2/s,text:\frac{ds}{dt} = \frac{36}{10} = 3.6 cm^2/s,"text:\frac{ds}{dt} = \frac{36}{10} = 3.6 \, cm^2/s",display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,True,False,True,high,,,
229,True,True,0.0,0.0,t = 1,\textcolor{red}{t} = 1,t=1,t=1,"sympy:eq(t, 1)","sympy:eq(t, 1)",display_math,display_math,False,True,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
230,False,False,1.6094379124341005,1.6094379124341005,"x^2 = 4(z)z, \text{i.e.,} x^2 = 8z.","x^2 = 4(2)\textcolor{red}{z}, \quad \text{i.e.,} \quad x^2 = 8\textcolor{red}{z}.","x^2=4(z)z,i.e.,x^2=8z","x^2=4(2)z,i.e.,x^2=8z","sympy:eq(x**2, 4*(z*z))","sympy:eq(x**2, 4*(2*z))",display_math,display_math,False,False,True,False,False,False,False,False,False,False,True,False,False,False,high,,,
232,False,True,0.5004024235381879,0.9502705392332347,\frac{1}{3^{-2}} \: = \frac{1}{3 \times (-2)} \: = \frac{1}{-6},\frac{1}{3^{-2}} = \frac{1}{3 \times (-2)} = \textcolor{red}{\frac{1}{-6}},\frac {1}{3^{-2}}=\frac {1}{3*(-2)}=\frac {1}{-6},\frac {1}{3^{-2}}=\frac {1}{3*(-2)}=\frac {1}{-6},text:\frac{1}{3^{-2}} \: = \frac{1}{3 \times (-2)} \: = \frac{1}{-6},text:\frac{1}{3^{-2}} = \frac{1}{3 \times (-2)} = \textcolor{red}{\frac{1}{-6}},display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,True,high,,,
239,True,False,0.5004024235381879,0.5004024235381879,L.H.S = 9e^{-3x} + (-3e^{-3x}) - 6e^{-3x} = 9e^{-3x} - 9e^{-3x} = 0 = R.H.S.,\text{L.H.S.} = 9 e^{-3x} + (-3e^{-3x}) - 6e^{-3x} = 9 e^{-3x} - 9 e^{-3x} = 0 = \text{R.H.S.}.,l.h.s=9e^{-3x}+(-3e^{-3x})-6e^{-3x}=9e^{-3x}-9e^{-3x}=0=r.h.s,l.h.s.=9 e^{-3x}+(-3e^{-3x})-6e^{-3x}=9 e^{-3x}-9 e^{-3x}=0=r.h.s,sympy:l,sympy:l,display_math,display_math,False,True,False,False,False,False,False,False,False,False,False,False,False,True,high,,,
240,False,False,1.6094379124341005,1.6094379124341005,"\frac{1}{2} \begin{vmatrix}
1 & 3 & 1 \\
0 & 0 & 1 \\
K & 0 & 1 
\end{vmatrix} = \pm 3.","\textcolor{red}{\frac{3k}{2}} = \pm 3, \quad \text{i.e.,} \quad k = \pm 2.",\frac {1}{2} \begin {vmatrix} 1 & 3 & 1 0 & 0 & 1 k & 0 & 1 \end {vmatrix}=\pm 3,"\frac {3k}{2}=\pm 3,i.e.,k=\pm 2",text:\frac{1}{2} \begin{vmatrix} 1 3 1 0 0 1 k 0 1 \end{vmatrix} = \pm 3,"sympy:eq(textcolor*(((3*k)/2)*(r*(d*e))), pm*3)",display_math,display_math,False,False,True,False,False,False,False,False,False,False,True,False,True,False,high,,,
243,False,False,0.6730116670092565,0.6730116670092565,"Therefore, R is an equivalence relation",R,"therefore,r is an equivalence relation",r,"text:therefore, r is an equivalence relation",sympy:r,last_line,display_math,False,False,False,False,False,False,False,True,True,False,False,False,True,False,high,,,
244,True,True,0.9502705392332347,0.9502705392332347,B',\textcolor{red}{B'},b',b',sympy:b',sympy:b',display_math,display_math,False,True,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
245,False,False,0.9502705392332347,0.9502705392332347,50y^2 - 88x^2 = 275,"\frac{y^2}{\frac{11}{4}} - \frac{x^2}{\textcolor{red}{\frac{25}{2}}} = 1, \text{ i.e., } \textcolor{red}{50}y^2 - \textcolor{red}{88}x^2 = 275.",50y^2-88x^2=275,"\frac {y^2}{\frac {11}{4}}-\frac {x^2}{\frac {25}{2}}=1,i.e.,50y^2-88x^2=275","sympy:eq(-88*x**2 + 50*y**2, 275)","text:\frac{y^2}{\frac{11}{4}} - \frac{x^2}{\textcolor{red}{\frac{25}{2}}} = 1, i.e., 50y^2 - 88x^2 = 275",display_math,display_math,False,False,True,False,False,False,False,False,False,False,True,False,True,False,high,,,
246,False,False,0.9502705392332347,0.9502705392332347,x,\textcolor{red}{3x + 5} = 44,x,3x+5=44,sympy:x,"sympy:eq(3*x + 5, 44)",display_math,display_math,False,False,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
250,True,True,0.5004024235381879,0.5004024235381879,R,R,r,r,sympy:r,sympy:r,display_math,display_math,False,True,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
254,True,True,0.9502705392332347,0.9502705392332347,2^4,2^4,2^4,2^4,sympy:2**4,sympy:2**4,display_math,display_math,False,True,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
258,True,False,1.3321790402101223,0.9502705392332347,\frac{63}{25} + \frac{16}{25}i,\frac{63}{25} + \frac{16}{25} i.,\frac {63}{25}+\frac {16}{25}i,\frac {63}{25}+\frac {16}{25} i,sympy:(16/25)*i + 63/25,sympy:(16/25)*i + 63/25,display_math,display_math,False,True,False,False,False,False,False,False,False,False,False,False,False,True,high,,,
263,False,False,0.9502705392332347,0.9502705392332347,z=k1,"x = \textcolor{red}{x2}, \quad y = 2, \quad z = \textcolor{red}{k1}.",z=k1,"x=x2,y=2,z=k1","sympy:eq(z, k*1)","sympy:eq(x, x*2)",display_math,display_math,False,False,True,False,False,False,False,False,False,False,True,False,False,False,high,,,
264,False,False,0.9502705392332347,0.9502705392332347,"Solving (1) and (2), we get: A = 45^\circ and B = 15^\circ",B = 15^\circ,"solving (1) and (2),we get: a=45^\circ and b=15^\circ",b=15^\circ,"text:solving (1) and (2), we get: a = 45^\circ and b = 15^\circ","sympy:eq(b, 15**circ)",last_line,display_math,False,False,True,False,False,False,False,False,False,False,True,False,True,False,high,,,
265,False,False,0.9502705392332347,0.9502705392332347,y = 13,13,y=13,13,"sympy:eq(y, 13)",sympy:13,display_math,display_math,False,False,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
269,False,False,1.3321790402101223,1.3321790402101223,x = \frac{49}{29},x,x=\frac {49}{29},x,"sympy:eq(x, 49/29)",sympy:x,display_math,display_math,False,False,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
271,False,False,0.0,0.0,25,\left( \frac{2}{3} \right)^{-2} = \frac{2^{-2}}{3^{-2}} = \frac{3^{2}}{2^{2}} = \frac{9}{4} = \textcolor{red}{2.25},25,( \frac {2}{3} )^{-2}=\frac {2^{-2}}{3^{-2}}=\frac {3^{2}}{2^{2}}=\frac {9}{4}=2.25,sympy:25,text:( \frac{2}{3} )^{-2} = \frac{2^{-2}}{3^{-2}} = \frac{3^{2}}{2^{2}} = \frac{9}{4} = 2.25,last_line,display_math,False,False,False,False,False,False,False,True,False,False,False,False,True,False,high,,,
272,False,True,1.3321790402101223,1.6094379124341005,S_5 = 3\left(1-\left(\frac{2}{3}\right)^5\right) = 3\times \frac{211}{243} = \frac{121}{81},S_5 = 3\left(1 - \left(\frac{2}{3}\right)^5\right) = 3 \times \frac{211}{243} = \textcolor{red}{\frac{121}{81}}.,s_5=3 (1-(\frac {2}{3} )^5 )=3*\frac {211}{243}=\frac {121}{81},s_5=3 (1-(\frac {2}{3} )^5 )=3*\frac {211}{243}=\frac {121}{81},text:s_5 = 3(1-(\frac{2}{3})^5) = 3\times \frac{211}{243} = \frac{121}{81},text:s_5 = 3(1 - (\frac{2}{3})^5) = 3 \times \frac{211}{243} = \textcolor{red}{\frac{121}{81}},display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,True,high,,,
273,False,False,1.3321790402101223,1.3321790402101223,},\frac{\textcolor{red}{2}}{4},},\frac {2}{4},text:},sympy:2/4,last_line,display_math,False,False,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
274,False,False,0.9502705392332347,0.5004024235381879,P(E \cap F) = P(E) \cdot P(F),F,p(e \cap f)=p(e)*p(f),f,"sympy:eq(p(e*(cap*f)), p(e)*p(f))",sympy:f,display_math,display_math,False,False,False,False,False,False,False,True,False,True,False,False,False,False,high,,,
275,False,True,1.3321790402101223,1.6094379124341005,\frac{ds}{dt} = \frac{36}{10} = 3.6 \text{ cm}^2 \text{/s},"\frac{dS}{dt} = \frac{36}{10} = 3.6 \, \text{cm}^2/\text{s}",\frac {ds}{dt}=\frac {36}{10}=3.6 cm^2/s,\frac {ds}{dt}=\frac {36}{10}=3.6 cm^2/s,text:\frac{ds}{dt} = \frac{36}{10} = 3.6 cm^2 /s,"text:\frac{ds}{dt} = \frac{36}{10} = 3.6 \, cm^2/s",display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,True,False,True,high,,,
276,False,False,1.0549201679861442,1.0549201679861442,"Therefore, 243 is not a perfect cube",243,"therefore,243 is not a perfect cube",243,"text:therefore, 243 is not a perfect cube",sympy:243,last_line,display_math,False,False,False,False,False,False,False,True,True,False,False,False,True,False,high,,,
280,False,True,1.3321790402101223,1.3321790402101223,= 11130 \text{ cm},"= \textcolor{red}{11130 \, \text{cm}}",=11130 cm,=11130 cm,text:= 11130 cm,"text:= 11130 \, cm",display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,False,True,high,,,
282,True,True,0.5004024235381879,0.5004024235381879,c,C,c,c,sympy:c,sympy:c,display_math,display_math,False,True,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
284,False,True,0.5004024235381879,1.0549201679861442,256=2^8,256 = 2^8,256=2^8,256=2^8,text:256=2^8,text:256 = 2^8,display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,False,True,high,,,
285,True,False,1.0549201679861442,0.0,"3, 4, 5, 6, 7, ...","3, 4, 5, 6, 7, \ldots","3,4,5,6,7,","3,4,5,6,7,\ldots",sympy:3,sympy:3,display_math,display_math,False,True,False,False,True,False,False,False,True,False,False,False,False,True,high,,,
288,False,True,1.3321790402101223,1.6094379124341005,|\vec{a}+\vec{b}+\vec{c}|=\sqrt{77}=\sqrt{77},|\vec{a} + \vec{b} + \vec{c}| = \sqrt{\textcolor{red}{77}} = \textcolor{red}{\sqrt{77}},|\vec {a}+\vec {b}+\vec {c}|=\sqrt {77}=\sqrt {77},|\vec {a}+\vec {b}+\vec {c}|=\sqrt {77}=\sqrt {77},text:|\vec{a}+\vec{b}+\vec{c}|=\sqrt{77}=\sqrt{77},text:|\vec{a} + \vec{b} + \vec{c}| = \sqrt{77} = \textcolor{red}{\sqrt{77}},last_line,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,True,high,,,
289,True,True,0.9502705392332347,0.9502705392332347,B,B,b,b,sympy:b,sympy:b,display_math,display_math,False,True,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
291,True,True,0.0,0.0,x,x,x,x,sympy:x,sympy:x,display_math,display_math,False,True,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
293,True,False,1.3321790402101223,0.9502705392332347,V = 7546 \text{ cm}^{3},"V = 7546 \, \text{cm}^3",v=7546 cm^{3},v=7546 cm^3,"sympy:eq(v, 7546*(c*m**3))","sympy:eq(v, 7546*(c*m**3))",display_math,display_math,False,True,False,False,False,False,False,False,False,False,False,False,False,True,high,,,
294,True,False,1.6094379124341005,1.3321790402101223,&= -\frac{1 \times 7}{3 \times 7} &= -\frac{18}{17},"-\frac{5}{15}, \quad -\frac{1 \times 6}{3 \times 6}, \quad -\frac{6}{18}, \quad -\frac{1 \times 7}{3 \times 7} = \textcolor{red}{-\frac{2}{17}}.",&=-\frac {1*7}{3*7} &=-\frac {18}{17},"-\frac {5}{15},-\frac {1*6}{3*6},-\frac {6}{18},-\frac {1*7}{3*7}=-\frac {2}{17}",text:= -\frac{1 \times 7}{3 \times 7} = -\frac{18}{17},sympy:-5/15,last_line,display_math,False,True,False,False,False,False,False,False,False,False,False,False,True,True,high,,,
298,False,False,0.9502705392332347,0.9502705392332347,x = 2 \quad \text{and},x = 2 \quad \text{and} \quad \textcolor{red}{y = 3).,x=2 and,x=2 and \textcolor {red}{y=3),"sympy:eq(x, 2*(a*(d*n)))",text:x = 2 and \textcolor{red}{y = 3),display_math,display_math,False,False,True,False,False,False,False,False,False,False,True,False,False,False,high,,,
299,False,False,0.9502705392332347,0.9502705392332347,Z,R,z,r,sympy:z,sympy:r,display_math,display_math,False,False,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
0,False,False,1.0549201679861442,1.0549201679861442,"Hence, the required number of words is 24",4 \times 3 \times 2 \times 1 = 24,"hence,the required number of words is 24",4*3*2*1=24,sympy:h*(e*(n*(c*e))),text:4 \times 3 \times 2 \times 1 = 24,last_line,display_math,False,False,False,False,False,False,False,False,True,False,False,False,True,False,medium,,,
1,False,False,1.6094379124341005,1.6094379124341005,(-j)(2j)\left(\frac{-1}{8}i\right)^3 = 2 \times \frac{1}{8 \times 8 \times 8} \times i^5 = \frac{1}{256}(j^2)^2 = \frac{1}{256}j,\left( -\textcolor{red}{j} \right) \left( 2\textcolor{red}{j} \right) \left( \frac{-1}{8} \textcolor{red}{j} \right)^3 = 2 \times \frac{1}{8 \times 8 \times 8} \times \textcolor{red}{j}^5 = \frac{1}{256} (\textcolor{red}{j}^2)^2 = \frac{1}{256} \textcolor{red}{j},(-j)(2j) (\frac {-1}{8}i )^3=2*\frac {1}{8*8*8}*i^5=\frac {1}{256}(j^2)^2=\frac {1}{256}j,(-j ) ( 2j ) ( \frac {-1}{8} j )^3=2*\frac {1}{8*8*8}*j^5=\frac {1}{256} (j^2)^2=\frac {1}{256} j,text:(-j)(2j)(\frac{-1}{8}i)^3 = 2 \times \frac{1}{8 \times 8 \times 8} \times i^5 = \frac{1}{256}(j^2)^2 = \frac{1}{256}j,text:( -j ) ( 2j ) ( \frac{-1}{8} j )^3 = 2 \times \frac{1}{8 \times 8 \times 8} \times j^5 = \frac{1}{256} (j^2)^2 = \frac{1}{256} j,display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
8,False,False,1.6094379124341005,1.6094379124341005,"\begin{aligned}
& \frac{4}{15}A = \frac{2}{5}B \\
& \Rightarrow A = \left(\frac{2}{5} \times \frac{15}{4}\right)B \\
& \Rightarrow A = \frac{8}{4}B \\
& \Rightarrow \frac{A}{B} = \frac{8}{4} \\
& \therefore A : B = 8 : 4 \\
& B's \ Share = Rs. \quad \left(1210 \times \frac{4}{15}\right) = Rs. 403.33
\end{aligned}",option b,\begin {aligned} & \frac {4}{15}a=\frac {2}{5}b & \rightarrow a=(\frac {2}{5}*\frac {15}{4} )b & \rightarrow a=\frac {8}{4}b & \rightarrow \frac {a}{b}=\frac {8}{4} & \therefore a : b=8 : 4 & b's \ share=rs. (1210*\frac {4}{15} )=rs. 403.33 \end {aligned},option b,text:\begin{aligned} \frac{4}{15}a = \frac{2}{5}b \rightarrow a = (\frac{2}{5} \times \frac{15}{4})b \rightarrow a = \frac{8}{4}b \rightarrow \frac{a}{b} = \frac{8}{4} \therefore a : b = 8 : 4 b's \ share = rs. (1210 \times \frac{4}{15}) = rs. 403.33 \end{aligned},text:option b,display_math,option,True,False,False,False,False,True,False,False,False,False,False,False,True,False,medium,,,
17,False,False,1.6094379124341005,1.6094379124341005,\angle 40^\circ 20' = \frac{121\pi}{540} \text{ radian}.,40^\circ 20' = \frac{121\pi}{540} \text{ radian}.,\angle 40^\circ 20'=\frac {121\pi }{540} radian,40^\circ 20'=\frac {121\pi }{540} radian,sympy:angle*(40**circ*20),sympy:40**circ*20,display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
20,False,False,0.9502705392332347,0.5004024235381879,|\overrightarrow{p} + \overrightarrow{q} + \overrightarrow{r}| = \sqrt{50} = 5\sqrt{2}.,|\textcolor{red}{\vec{p}} + \textcolor{red}{\vec{q}} + \textcolor{red}{\vec{r}}| = \sqrt{50} = 5\sqrt{2},|\overrightarrow {p}+\overrightarrow {q}+\overrightarrow {r}|=\sqrt {50}=5\sqrt {2},|\vec {p}+\vec {q}+\vec {r}|=\sqrt {50}=5\sqrt {2},text:|\overrightarrow{p} + \overrightarrow{q} + \overrightarrow{r}| = \sqrt{50} = 5\sqrt{2},text:|\textcolor{red}{\vec{p}} + \textcolor{red}{\vec{q}} + \textcolor{red}{\vec{r}}| = \sqrt{50} = 5\sqrt{2},display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
23,True,True,0.5004024235381879,0.5004024235381879,\frac{-3}{-15} = \frac{-3 \div (-3)}{-15 \div (-3)} = \frac{1}{5},\frac{-3}{-15} = \frac{-3 \div (-3)}{-15 \div (-3)} = \frac{1}{5},\frac {-3}{-15}=\frac {-3/(-3)}{-15/(-3)}=\frac {1}{5},\frac {-3}{-15}=\frac {-3/(-3)}{-15/(-3)}=\frac {1}{5},text:\frac{-3}{-15} = \frac{-3 \div (-3)}{-15 \div (-3)} = \frac{1}{5},text:\frac{-3}{-15} = \frac{-3 \div (-3)}{-15 \div (-3)} = \frac{1}{5},display_math,display_math,False,True,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
26,False,False,0.5004024235381879,0.5004024235381879,\frac{11}{4} \log |x + 1| + \frac{5}{2(x + 1)} - \frac{11}{4} \log |x + 3| + C,= \frac{11}{4} \log \left| \frac{x+1}{x+3} \right| + \frac{5}{2(x+1)} + C,\frac {11}{4} \log |x+1|+\frac {5}{2(x+1)}-\frac {11}{4} \log |x+3|+c,=\frac {11}{4} \log | \frac {x+1}{x+3} |+\frac {5}{2(x+1)}+c,"sympy:c + (((11/4)*log(abs(x + 1), e) + 5/((2*(x + 1)))) - 11/4*log(abs(x + 3), e))",text:= \frac{11}{4} \log | \frac{x+1}{x+3} | + \frac{5}{2(x+1)} + c,display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
38,False,False,0.6730116670092565,1.0549201679861442,"Further, f is not onto, as for 1 ∈ N , there does not exist any x in N such that f(x) = 2x = 1",f(x) = 2x = 1,"further,f is not onto,as for 1 ∈ n,there does not exist any x in n such that f(x)=2x=1",f(x)=2x=1,"text:further, f is not onto, as for 1 ∈ n , there does not exist any x in n such that f(x) = 2x = 1",text:f(x) = 2x = 1,last_line,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
39,False,False,1.6094379124341005,1.3321790402101223,i^{-35} = \frac{1}{i^{35}} = \frac{1}{(i^2)^{17}i} = \frac{1 \times i}{-i} = \frac{i}{-(-1)} = i.,i^{-35} = \frac{1}{i^{35}} = \frac{1}{(i^2)^{17}i} = \frac{1 \times i}{-i} = \frac{i}{-(-1)} = \textcolor{red}{i \text{ cm}}.,i^{-35}=\frac {1}{i^{35}}=\frac {1}{(i^2)^{17}i}=\frac {1*i}{-i}=\frac {i}{-(-1)}=i,i^{-35}=\frac {1}{i^{35}}=\frac {1}{(i^2)^{17}i}=\frac {1*i}{-i}=\frac {i}{-(-1)}=i cm,"sympy:eq(false, i)",text:i^{-35} = \frac{1}{i^{35}} = \frac{1}{(i^2)^{17}i} = \frac{1 \times i}{-i} = \frac{i}{-(-1)} = i cm,display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
45,False,False,1.6094379124341005,1.6094379124341005,y = \frac{3(-3) + 1(5)}{3+1} = \frac{-9 + 5}{4} = -1,"(7, \textcolor{red}{4})",y=\frac {3(-3)+1(5)}{3+1}=\frac {-9+5}{4}=-1,"(7,4)",text:y = \frac{3(-3) + 1(5)}{3+1} = \frac{-9 + 5}{4} = -1,"text:(7, 4)",display_math,display_math,False,False,False,False,False,False,False,False,True,False,False,False,False,False,medium,,,
50,True,True,0.5004024235381879,0.5004024235381879,"A' = \{2, 4, 6, 8, 10\}.","A' = \{2, 4, 6, 8, 10\}.","a'={2,4,6,8,10}","a'={2,4,6,8,10}","text:a' = \{2, 4, 6, 8, 10\}","text:a' = \{2, 4, 6, 8, 10\}",display_math,display_math,False,True,False,False,False,False,False,False,False,True,False,False,False,False,medium,,,
60,False,False,1.6094379124341005,1.6094379124341005,"\text{Hence, the required marginal revenue is 76}.","\text{₹} \, 7776","hence,the required marginal revenue is 76",₹ 7776,sympy:h*(e*(n*(c*e))),"text:₹ \, 7776",display_math,display_math,False,False,False,False,False,False,False,False,True,False,False,False,True,False,medium,,,
64,False,False,0.9502705392332347,1.3321790402101223,\sin^{-1}\left(\sin \frac{3\pi}{5}\right) = \sin^{-1}\left(\sin \frac{2\pi}{5}\right) = \frac{2\pi}{5}.,\sin^{-1} \left( \sin \frac{3\pi}{5} \right) = \sin^{-1} \left( \sin \frac{2\pi}{5} \right) = \frac{2\pi}{5}.,\sin ^{-1} (\sin \frac {3\pi }{5} )=\sin ^{-1} (\sin \frac {2\pi }{5} )=\frac {2\pi }{5},\sin ^{-1} ( \sin \frac {3\pi }{5} )=\sin ^{-1} ( \sin \frac {2\pi }{5} )=\frac {2\pi }{5},text:\sin^{-1}(\sin \frac{3\pi}{5}) = \sin^{-1}(\sin \frac{2\pi}{5}) = \frac{2\pi}{5},text:\sin^{-1} ( \sin \frac{3\pi}{5} ) = \sin^{-1} ( \sin \frac{2\pi}{5} ) = \frac{2\pi}{5},display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
66,False,False,1.6094379124341005,1.6094379124341005,\left(-i\right)(2i)\left(\frac{-1}{8} - i\right)^3 = 2 \times \frac{1}{256} \times i^5 = \frac{1}{256}i,\left( -i \right) \left( 2i \right) \left( \frac{-1}{8} i \right)^3 = 2 \times \frac{1}{256} \times i^5 = \frac{1}{256} i,(-i )(2i) (\frac {-1}{8}-i )^3=2*\frac {1}{256}*i^5=\frac {1}{256}i,(-i ) ( 2i ) ( \frac {-1}{8} i )^3=2*\frac {1}{256}*i^5=\frac {1}{256} i,text:(-i)(2i)(\frac{-1}{8} - i)^3 = 2 \times \frac{1}{256} \times i^5 = \frac{1}{256}i,text:( -i ) ( 2i ) ( \frac{-1}{8} i )^3 = 2 \times \frac{1}{256} \times i^5 = \frac{1}{256} i,display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
71,False,False,0.5004024235381879,0.5004024235381879,3.14159.,\frac{dy}{dx} = 1. \textcolor{red}{\text{ Note that } \pi \text{ is a constant approximately equal to 3.14159.}},3.14159,\frac {dy}{dx}=1. note that \pi is a constant approximately equal to 3.14159,sympy:3.14159000000000,text:\frac{dy}{dx} = 1. note that \pi is a constant approximately equal to 3.14159,display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,True,True,False,medium,,,
72,False,False,1.6094379124341005,1.6094379124341005,"\begin{aligned}
&\textbf{1. First expression:} \\
&5m(3 - m) = (5m \times 3) - (5m \times m) = 15m - 5m^2 \\
&\text{Now adding the second expression to it:} \\
&15m - 5m^2 + 6m^2 - 13m = m^2 \text{ meters} + 2m \text{ meters} \\
\\
&\textbf{2. First expression:} \\
&4y(3y^2 + 5y - 7) = (4y \times 3y^2) + (4y \times 5y) + (4y \times (-7)) = 12y^3 + 20y^2 - 28y \\
&\text{Second expression:} \\
&2(y^3 - 4y^2 + s) = 2y^3 + 2 \times (-4y^2) + 2 \times s = 2y^3 - 8y^2 + 2s \\
&\text{Adding the two expressions:} \\
&12y^3 + 20y^2 - 28y + 2y^3 - 8y^2 + 2s = 14y^3 \text{ liters} + 12y^2 \text{ liters} - 28y + 10
\end{aligned}",12y^3 + 20y^2 - 28y + 2y^3 - 8y^2 + 10 = \textcolor{red}{14y^3\ \text{liters}} + \textcolor{red}{12y^2\ \text{liters}} - 28y + 10,\begin {aligned} &1. first expression: &5m(3-m)=(5m*3)-(5m*m)=15m-5m^2 &now adding the second expression to it: &15m-5m^2+6m^2-13m=m^2 meters+2m meters &2. first expression: &4y(3y^2+5y-7)=(4y*3y^2)+(4y*5y)+(4y*(-7))=12y^3+20y^2-28y &second expression: &2(y^3-4y^2+s)=2y^3+2*(-4y^2)+2*s=2y^3-8y^2+2s &adding the two expressions: &12y^3+20y^2-28y+2y^3-8y^2+2s=14y^3 liters+12y^2 liters-28y+10 \end {aligned},12y^3+20y^2-28y+2y^3-8y^2+10=14y^3\ liters+12y^2\ liters-28y+10,text:\begin{aligned} \textbf{1. first expression:} 5m(3 - m) = (5m \times 3) - (5m \times m) = 15m - 5m^2 now adding the second expression to it: 15m - 5m^2 + 6m^2 - 13m = m^2 meters + 2m meters \textbf{2. first expression:} 4y(3y^2 + 5y - 7) = (4y \times 3y^2) + (4y \times 5y) + (4y \times (-7)) = 12y^3 + 20y^2 - 28y second expression: 2(y^3 - 4y^2 + s) = 2y^3 + 2 \times (-4y^2) + 2 \times s = 2y^3 - 8y^2 + 2s adding the two expressions: 12y^3 + 20y^2 - 28y + 2y^3 - 8y^2 + 2s = 14y^3 liters + 12y^2 liters - 28y + 10 \end{aligned},text:12y^3 + 20y^2 - 28y + 2y^3 - 8y^2 + 10 = 14y^3\ liters + 12y^2\ liters - 28y + 10,display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
